Accession_#,primary_TIS_type
NC_005179.1,IRES
NC_001479.1,IRES
NC_001809.1,IRES
NC_012532.1,IRES
NC_003310.1,IRES
NC_001477.1,IRES
NC_006998.1,IRES
NC_000943.1,IRES
NC_001611.1,IRES
NC_001563.2,IRES
NC_001430.1,IRES
NC_001617.1,IRES
NC_002031.1,IRES
NC_003908.1,IRES
NC_005301.3,IRES
NC_001802.1,IRES
NC_004102.1,IRES
NC_004157.1,IRES
NC_004158.1,IRES
NC_003690.1,IRES
NC_001653.2,IRES
NC_001710.1,IRES
NC_001437.1,IRES
NC_003663.2,IRES
NC_002642.1,IRES
NC_004159.1,IRES
NC_006560.1,IRES
NC_001364.1,IRES
NC_001897.1,IRES
NC_003687.1,IRES
NC_001699.1,IRES
NC_001612.1,IRES
NC_007605.1,IRES
NC_009333.1,IRES
NC_007580.2,IRES
NC_009539.1,IRES
NC_002058.3,IRES
NC_005300.2,IRES
NC_005302.1,IRES
NC_004109.1,IRES or Leaky Scanning
NC_004108.1,IRES or Leaky Scanning
NC_004110.1,IRES or Leaky Scanning
NC_001356.1,Leaky Scanning
NC_006319.1,Leaky Scanning
NC_005775.1,Leaky Scanning
NC_003461.1,Leaky Scanning
NC_000883.2,Leaky Scanning
NC_006318.1,Leaky Scanning
NC_002200.1,Leaky Scanning
NC_006273.2,Leaky Scanning
NC_002728.1,Leaky Scanning
NC_003243.1,Leaky Scanning
NC_005221.1,Leaky Scanning
NC_005220.1,Leaky Scanning
NC_001542.1,Leaky Scanning
NC_011505.2,Leaky Scanning
NC_014396.1,Leaky Scanning
NC_014397.1,Leaky Scanning
NC_009527.1,Leaky Scanning
NC_001608.3,Leaky Scanning
NC_001498.1,Leaky Scanning
NC_006554.1,Leaky Scanning
NC_014395.1,Leaky Scanning
NC_005214.1,Leaky Scanning
NC_001806.2,Leaky Scanning
NC_006429.1,Leaky Scanning
NC_005777.1,Leaky Scanning
NC_001798.2,Leaky Scanning
NC_001926.1,Leaky Scanning
NC_001526.2,Leaky Scanning
NC_001348.1,Leaky Scanning
NC_001906.3,Leaky Scanning
NC_006320.1,Leaky Scanning
NC_024070.1,Leaky Scanning
NC_005776.1,Leaky Scanning
NC_001925.1,Leaky Scanning
NC_001927.1,Leaky Scanning
NC_011500.2,NSP3-3'UTR
NC_011501.2,NSP3-3'UTR
NC_007571.1,NSP3-3'UTR
NC_007573.1,NSP3-3'UTR
NC_011504.2,NSP3-3'UTR
NC_007545.1,NSP3-3'UTR
NC_007572.1,NSP3-3'UTR
NC_007570.1,NSP3-3'UTR
NC_011510.2,NSP3-3'UTR
NC_007574.1,NSP3-3'UTR
NC_011509.2,NSP3-3'UTR
NC_011503.2,NSP3-3'UTR
NC_007543.1,NSP3-3'UTR
NC_007547.1,NSP3-3'UTR
